player,team,Scoring Threat,Chance Creation,Build-up Play,Defensive Workrate,Discipline & Physical
Aaron Mooy,Australia,1.0104895104895104,1.7596830985915493,5.114989378896329,3.846747846747847,4.679411764705883
Aaron Ramsey,Wales,1.0104895104895104,1.272830985915493,4.225028399907642,1.987006237006237,3.5399159663865545
Abdelhamid Sabiri,Morocco,1.083916083916084,1.3250704225352112,3.6913802816901407,2.7648500148500146,3.9968487394957983
Abdelkarim Hassan,Qatar,1.104895104895105,1.5114718309859154,4.482935580697299,2.58976833976834,3.9984243697478994
Abderrazak Hamdallah,Morocco,1.8974545454545455,1.0316901408450705,2.717309859154929,1.1216216216216217,3.1783088235294117
Abdessamad Ezzalzouli,Morocco,1.0944055944055944,1.2815,3.5743747402447474,2.134355509355509,2.6000903361344534
Abdou Diallo,Senegal,1.0104895104895104,1.3709014084507043,4.521766566612792,2.11497623997624,3.464701680672269
Abdul Fatawu Issahaku,Ghana,1.0,1.0,4.008450704225352,1.0,1.0
Abdulaziz Hatem,Qatar,1.1331561771561771,1.1410704225352113,3.836264834911106,1.2472527472527473,3.7786617647058827
Abdulelah Al-Amri,Saudi Arabia,1.0314685314685315,1.4119718309859155,4.222054029092589,2.6836575586575586,5.253558823529412
Abdulellah Al-Malki,Saudi Arabia,1.062937062937063,1.1985704225352112,3.949202955437543,2.3435179685179683,4.630252100840336
Abdullah Madu,Saudi Arabia,1.0,1.0,2.2844620180096973,1.7273908523908525,4.185924369747899
Abdulrahman Al-Aboud,Saudi Arabia,1.1888111888111887,1.1285,2.9871380743477256,1.2596153846153846,3.0892857142857144
Abolfazl Jalali,IR Iran,1.0,1.2686901408450704,3.3612029554375433,1.0608108108108107,3.033613445378151
Achraf Dari,Morocco,1.8588702857835806,1.0950704225352113,4.361684599399677,3.6489456489456487,3.6754201680672267
Achraf Hakimi,Morocco,1.0583123543123543,1.5776619718309859,5.962521588547679,6.637696762696763,3.3032247899159666
Adrien Rabiot,France,1.5745300941832734,2.2813450704225353,5.623217501731702,5.914315414315414,5.50481512605042
Agustín Canobbio,Uruguay,1.0,1.0316901408450705,3.1884788732394367,1.2596153846153846,1.6428571428571428
